"في تنصيب عظيم. لا تتوفر إلا معلومات قليلة جداً عن الإله بولن يوكت (Bolon Yokte') فطبقاً لمقالة كتبها علماء مختصين بدراسة حضارة المايا هما ماركوس إيبرل (Markus Eberl) وكرستيان براجر (Christian Prager) في أبحاث علم الإنسان البريطانية فإن اسمه يتألف من العناصر ""nine"" و ’OK-te’(ومعناه الشيء المجهول) والإله. الالتباس في نقوش الحقبة الكلاسيكية تشير إلى أن الاسم قديم وغير مألوف بالنسبة للُكتاب المعاصرين  وقد ظهر أيضاً في النقوش المكتشفة في مناطق بالينك (Palenque) ويوسوماشينتا (Usumacinta) ولامار (La Mar) كإله الحرب والصراع والجحيم. وتم رسمه في إحدى اللوحات بحبل مربوط حول عنقه بينما ظهر في لوحة أخرى يحمل كيساً من العبق في نفس الوقت وذلك دلالة على التضحية وإشارة إلى نهاية حقبة من الزمن."	من الذي كتب عن  الإله بولن يوكت؟	ماركوس إيبرل (Markus Eberl) وكرستيان براجر (Christian Prager)
"صدرت تأكيدات عديدة عن عام 2012م من قبل شعوب المايا، مجموعة غير مصنفة عن معتقدات العصر الجديد من حكم شعوب المايا القديمة والروحانية. يختلف المصطلح عن باحث المايا Mayanist، الذي يُستخدم للإشارة إلى الباحث الأكاديمي من شعب المايا. ويقول أنتوني أفيني عالم الفلك والآثار أنه بينما سيطرت فكرة "" توازن الكون"" في أدب شعب المايا القديم، لم تتعادل ظاهرة عام 2012م معها في هذه التقاليد. وعوضاً عن ذلك، ارتبطت بالمفاهيم الأمريكية كحركة العصر الجديد، الإيمان بالعصر الألفي السعيد، والإعتقاد بالمعرفة السرية منذ الأزل والأماكن. وقد تم اكتشاف هذه الأمور في أدب عام 2012م الذي شمل ""الشبهات حول تعميم الثقافة الغربية""، وفكرة الثورة الروحانية واحتمال قيادة العالم في العصر الجديد من قبل أفراد أو مجموعة واعية. وليس الهدف العام من هذا الأدب التحذير من الهلاك الوشيك، بل تبني الثقافة الاجتماعية والسياسية في نهاية المطاف والنشاط الروحاني. أفيني، الذي درس مجتمعات العصر الجديد والبحث في الذكاء الفضائي، وصف عام 2012م على أنه نتاج مجتمع مفصول: "" فعندما لا نتمكن من العثور على أجوبة روحانية لأسئلة الحياة الكبيرة داخل أنفسنا، نتجه للخارج إلى كينونات خيالية توجد بعيداً في الفضاء الخارجي أو كينونات زمنية قد لا توجد إلا لدى شئ ذو سلطة أعلى."	في أي عام وجدت مادة الشك تجاه تيار الثقافة الغربية الموجود في الأدب	عام 2012م
"صدرت تأكيدات عديدة عن عام 2012م من قبل شعوب المايا، مجموعة غير مصنفة عن معتقدات العصر الجديد من حكم شعوب المايا القديمة والروحانية. يختلف المصطلح عن باحث المايا Mayanist، الذي يُستخدم للإشارة إلى الباحث الأكاديمي من شعب المايا. ويقول أنتوني أفيني عالم الفلك والآثار أنه بينما سيطرت فكرة "" توازن الكون"" في أدب شعب المايا القديم، لم تتعادل ظاهرة عام 2012م معها في هذه التقاليد. وعوضاً عن ذلك، ارتبطت بالمفاهيم الأمريكية كحركة العصر الجديد، الإيمان بالعصر الألفي السعيد، والإعتقاد بالمعرفة السرية منذ الأزل والأماكن. وقد تم اكتشاف هذه الأمور في أدب عام 2012م الذي شمل ""الشبهات حول تعميم الثقافة الغربية""، وفكرة الثورة الروحانية واحتمال قيادة العالم في العصر الجديد من قبل أفراد أو مجموعة واعية. وليس الهدف العام من هذا الأدب التحذير من الهلاك الوشيك، بل تبني الثقافة الاجتماعية والسياسية في نهاية المطاف والنشاط الروحاني. أفيني، الذي درس مجتمعات العصر الجديد والبحث في الذكاء الفضائي، وصف عام 2012م على أنه نتاج مجتمع مفصول: "" فعندما لا نتمكن من العثور على أجوبة روحانية لأسئلة الحياة الكبيرة داخل أنفسنا، نتجه للخارج إلى كينونات خيالية توجد بعيداً في الفضاء الخارجي أو كينونات زمنية قد لا توجد إلا لدى شئ ذو سلطة أعلى."	متى حدثت الظاهرة؟	2012م
يختلف النقاد من الفلكيين أمثال ديفيد موريسون في أن خط الاستواء المجري هو خط غير دقيق تماماً. ولا يمكن تحديده بدقة مطلقاً لأنه من المستحيل معرفة حدود مجرة درب التبانة بشكل دقيق التي تختلف حسب الرؤية. يدّعي جنكينز أنه توصل إلى استنتاجاته حول موقع خط الاستواء المجري بناء على الملاحظات التي أُخِذت من ارتفاع 11,000 قدم (3,400م). أعطى هذا الارتفاع صورة أوضح لدرب التبانة عن تلك التي توصل لها شعب المايا . علاوةً على ذلك، بما أن الشمس تمتد بنصف درجة، فوضعية انقلابها تستغرق 36 سنة لتكمل اتساعها. لاحظ جنكينز أنه للتمكن من تحديد خط الإستواء المجري بشكل دقيق يجب أن يحدث تقارب دقيق مع مركز الشمس الذي قد حدث بالفعل في عام 1998م . وهكذا يؤكد ذلك أنه بدلاً من عام 2012م، يركز نظام المجرة على فترة تمركز سنوات عديدة في عام 1998م. .لا يوجد دليل واضح على إدراك حضارة المايا الكلاسيكية لظاهرة ترنح محور الأرض. حيث أشار بعض علمائهم (مثل: باربرا ماكليود، ميشيل غروف، إيفا هانت، غوردن بروثرستون، أنتوني اڤني) أن بعض المواعيد الماوية المقدسة وقِّتت حسب الدورات الترنحية لمحور الأرض، لكن يبقى الرأي العلمي حول هذا الموضوع متشعب. كما أن هناك دليل أثري و تاريخي ضئيل بأن المايا صنفوا الأحداث المهمة حسب وقتي الاعتدالين والانقلابين، ويبدو من الممكن أن الأوائل من بين الميزوأمريكان (شعوب أمريكا الوسطى) هم وحدهم من لاحظ الانقلابين للشمس، ولكن لازال هذا الموضوع مثار جدل بين الماويون. وكذلك لا يوجد دليل على ربط المايا القديمة أي أهمية لدرب التبانة ولا يوجد هناك أي نقش في نظام كتابتهم يمثل ذلك، أو حتى جدولا مرتبا زمنيا أو فلكيا يوثق ذلك.	ما هي مهنة ديفيد ماريسون؟	الفلكيين
2009). تتواجد الخفافيش المصابة بداء الكلب في جميع الولايات ال 48 المتجاورة. هناك مستودعات طبيعية لكنها محدودة جغرافياً، مثل نوع فيروس داء الكلب للراكون الذي يتواجد في شريط ضيق نسبياً على الساحل الشرقي. نظراً للوعي العام العالي بفيروس داء الكلب، وجهود تلقيح الحيوانات الأليفة ضد المرض وتقليص أعداد التجمعات السكانية الحيوانية للحيوانات الوحشية، وأيضا لتوافر الأدوية المضادة له بعد التعرض له. تعد حالات الإصابة بداء الكلب في البشر نادرة جداً. كان عدد الحالات المسجلة في الولايات المتحدة 49 حالة في الفترة ما بين 1995 إلى 2011. من هذه الحالات، يُعتقد أن 11 منها تم اكتسابها من خارج الولايات المتحدة. و تقريباً جميع الحالات المحلية المكتسبة ترجع إلى عضات الخفافيش.في سويسرا، تم القضاء التام على الفيروس نسبياً بعد أن وضع العلماء رؤوس دجاج يحتوي على اللقاح الموهن الحي في جبال الألب السويسرية.. اكتسبت الثعالب في سويسرا، التي ثبت أنها السبب الرئيسي لداء الكلب في البلد،	كم عدد الحالات التي تم تسجيلها؟	49
  فيكتوريا هي ولاية تقع في الركن الجنوبى الشرقي من أستراليا،و هي أصغر الولايات الأسترالية في المساحة ولكنها الأكثر مدنية وكثافة سكانية. و قد بدأت كمجتمع زراعى في ثلاثينيات القرن التاسع عشر، وتحولت إلى قيادة مركز صناعي وتجارى بعد اكتشاف الذهب في 1851. هي الثانية الأكثر سكانا في أستراليا بعد نيو ساوث ويلز، حيث يقدّر عدد السكان بحوالي 6,000,000 (2014). ملبورن هي عاصمة ولاية فكتوريا وهي أكبر مدنها، وبها ما يزيد عن 70% من سكانها.	ما هي عاصمة ولاية فيكتوريا الأسترالية؟	ملبورن
 كانبان مأخوذه من كلمة   وتعني ملصق يوضع على الحاوية أو الوعاء في خط الإنتاج أو في المخزن. يهدف إلى السيطرة علـى المواد والأصناف كماً و كيفاً .[1][2][3] .	ما هو الكانبان؟	مأخوذه من كلمة   وتعني ملصق يوضع على الحاوية أو الوعاء في خط الإنتاج أو في المخزن. يهدف إلى السيطرة علـى المواد والأصناف كماً و كيفاً
 كرة القدم هي رياضة جماعية تُلعب بين فريقين يتكون كل منهما من أحد عشر لاعباً بكرة مُكوَّرة. يلعب كرة القدم 250 مليون لاعب في أكثر من مائتي دولة حول العالم، فلذلك تكون الرياضة الأكثر شعبية وانتشاراً في العالم.[1][2][3][4] تُلعب كرة القدم في ملعب مستطيل الشكل مع مرميين في جانبيه. الهدف من اللعبة هو إحراز الأهداف بركل الكرة داخل المرمى.	كم عدد اللاعبين في فريق كرة القدم؟	أحد عشر
حياة لاثريو دي تورميس وما ورد من حسن أقداره وسوئها، المعروفة أكثر باسم لاثريو دي تورميس (بالإسبانية: Lazarillo de Tormes أو La vida de Lazarillo de Tormes y de sus fortunas y adversidades) رواية إسبانيّة مجهولة المؤلف، مكتوبة على شكل رسالة يكون فيها الراوي شخصيّة من شخصيّات العمل. أقدم طبعة لهذا العمل عرفت يعود تاريخها إلى عام 1554م. يروي فيها البطل لاثرو سيرته الذاتية منذ ولادته مروراً بطفولته البائسة ثم زواجه حتى بلوغه سن الرشد في مجتمع القرن السادس عشر.	متى نشر كتاب لاثريو دي تورميس ؟	1554م
"ولد في 25 أغسطس عام 1930 في فونتانبريدج بإدنبره في اسكتلندا لوالدين فقيرين في بلدة ، من أب كاثوليكي ذي أصول أيرلندية وأم تعتنق المذهب البروتستاني.. ""تومي"" كان اسم تدليله، لكنه اعتاد أن يناديه أصدقاؤه باسمه الأوسط ""شون"" للتمييز بينه وبين صديق آخر كان يحمل اسما مقاربا، ومن يومها صار اسمه الذي اشتهر به في كل أنحاء العالم. تنقل ""شون كونري"" في شبابه بين عديد من المهن المتواضعة بعدما ترك المدرسة في سن الثالثة عشرة،وكان صبيا نشيطا يسعى لكسب قوت يومه مما جعله يقوم بأعمال عدة منها عمله كعامل بناء ومنظف لأكفان الموتى وغيرها...)وهي المهن التي خلقت منه شخصا صلبا ومليئا بالرجولة والخشونة، حتى استطاع أن يصبح موديلا -مستغلا وسامته الشديدة– لكلية الفنون في إدنبره، وفي عام 1953 –في سن الثالثة والعشرين– خاض مسابقة ذكورية -على غرار مسابقات ملكات الجمال- اسمها سيد الكون، وحقق فيها المركز الثالث، وبعدها بدأ مرحلة الاقتراب من التليفزيون وقدم أول أعماله Lilas in the spring في عام 1955."	اين ولد الممثل شون كونري ؟	في فونتانبريدج بإدنبره في اسكتلندا
